Year,Vehicle_ID,Route_Type,Weather,Distance_Travelled_km,Vehicle_Age_km,Efficiency_kWh_per_km,Energy_Consumption_kWh,Charging_Cost_USD,Maintenance_Cost_USD,Operational_Cost_USD
2018-01-07,EV001,highway,cold,1212.19,1212.19,0.2502,348.84,87.21,0,87.21
2018-01-14,EV001,highway,cold,1799.35,3011.54,0.2506,518.56,155.57,0,155.57
2018-01-21,EV001,urban,cold,611.35,3622.89,0.2507,176.27,44.07,0,44.07
2018-01-28,EV001,rural,cold,990.94,4613.83,0.2509,285.95,71.49,0,71.49
2018-02-04,EV001,rural,cold,1177.51,5791.34,0.2512,340.1,85.03,0,85.03
2018-02-11,EV001,urban,cold,684.0,6475.34,0.2513,197.67,49.42,0,49.42
2018-02-18,EV001,urban,cold,514.28,6989.62,0.2514,148.68,44.6,0,44.6
2018-02-25,EV001,urban,cold,632.81,7622.43,0.2515,183.04,45.76,0,45.76
2018-03-04,EV001,highway,mild,1557.76,9180.19,0.2518,392.3,47.08,0,47.08
2018-03-11,EV001,highway,mild,1813.57,10993.76,0.2522,457.38,54.89,0,54.89
2018-03-18,EV001,urban,mild,345.37,11339.130000000001,0.2523,87.13,10.46,0,10.46
2018-03-25,EV001,highway,mild,1718.55,13057.68,0.2526,434.13,130.24,0,130.24
2018-04-01,EV001,urban,mild,512.57,13570.25,0.2527,129.53,38.86,0,38.86
2018-04-08,EV001,rural,mild,1153.66,14723.91,0.2529,291.81,72.95,0,72.95
2018-04-15,EV001,rural,mild,1190.88,15914.79,0.2532,301.51,36.18,0,36.18
2018-04-22,EV001,highway,mild,1774.59,17689.38,0.2535,449.93,134.98,0,134.98
2018-04-29,EV001,highway,mild,1147.66,18837.04,0.2538,291.24,87.37,0,87.37
2018-05-06,EV001,rural,mild,998.29,19835.33,0.254,253.53,63.38,0,63.38
2018-05-13,EV001,highway,mild,1625.84,21461.170000000002,0.2543,413.44,49.61,0,49.61
2018-05-20,EV001,urban,mild,295.77,21756.940000000002,0.2544,75.23,22.57,0,22.57
2018-05-27,EV001,rural,mild,627.42,22384.36,0.2545,159.66,19.16,0,19.16
2018-06-03,EV001,highway,hot,1865.55,24249.91,0.2548,522.98,156.89,0,156.89
2018-06-10,EV001,highway,hot,1459.04,25708.95,0.2551,409.49,122.85,0,122.85
2018-06-17,EV001,rural,hot,1099.15,26808.100000000002,0.2554,308.75,92.62,0,92.62
2018-06-24,EV001,rural,hot,544.36,27352.460000000003,0.2555,152.97,18.36,0,18.36
2018-07-01,EV001,highway,hot,957.15,28309.610000000004,0.2557,269.18,67.3,0,67.3
2018-07-08,EV001,urban,hot,488.79,28798.400000000005,0.2558,137.51,41.25,0,41.25
2018-07-15,EV001,highway,hot,1215.49,30013.890000000007,0.256,342.29,102.69,200,302.69
2018-07-22,EV001,rural,hot,819.93,30833.820000000007,0.2562,231.04,57.76,200,257.76
2018-07-29,EV001,highway,hot,1300.44,32134.260000000006,0.2564,366.81,110.04,0,110.04
2018-08-05,EV001,urban,hot,570.61,32704.870000000006,0.2565,161.02,40.26,0,40.26
2018-08-12,EV001,highway,hot,1145.97,33850.840000000004,0.2568,323.68,38.84,0,38.84
2018-08-19,EV001,rural,hot,1092.38,34943.22,0.257,308.8,77.2,0,77.2
2018-08-26,EV001,urban,hot,592.85,35536.07,0.2571,167.67,20.12,0,20.12
2018-09-02,EV001,rural,mild,855.18,36391.25,0.2573,220.02,66.01,0,66.01
2018-09-09,EV001,rural,mild,1112.17,37503.42,0.2575,286.38,85.91,0,85.91
2018-09-16,EV001,urban,mild,384.79,37888.21,0.2576,99.11,29.73,0,29.73
2018-09-23,EV001,rural,mild,834.11,38722.32,0.2577,214.99,25.8,0,25.8
2018-09-30,EV001,rural,mild,1196.43,39918.75,0.258,308.66,92.6,0,92.6
2018-10-07,EV001,highway,mild,1667.01,41585.76,0.2583,430.62,107.66,0,107.66
2018-10-14,EV001,urban,mild,529.74,42115.5,0.2584,136.9,16.43,0,16.43
2018-10-21,EV001,rural,mild,529.27,42644.77,0.2585,136.83,41.05,0,41.05
2018-10-28,EV001,rural,mild,934.88,43579.649999999994,0.2587,241.87,60.47,0,60.47
2018-11-04,EV001,urban,mild,487.36,44067.009999999995,0.2588,126.14,15.14,0,15.14
2018-11-11,EV001,rural,mild,1095.94,45162.95,0.259,283.88,85.16,0,85.16
2018-11-18,EV001,highway,mild,839.96,46002.909999999996,0.2592,217.72,26.13,0,26.13
2018-11-25,EV001,highway,mild,1029.97,47032.88,0.2594,267.18,66.8,0,66.8
2018-12-02,EV001,urban,cold,330.28,47363.159999999996,0.2595,98.55,29.56,0,29.56
2018-12-09,EV001,rural,cold,684.48,48047.64,0.2596,204.35,61.3,0,61.3
2018-12-16,EV001,highway,cold,1187.62,49235.26,0.2598,354.89,42.59,0,42.59
2018-12-23,EV001,rural,cold,1166.88,50402.14,0.2601,349.01,41.88,500,541.88
2018-12-30,EV001,highway,cold,1689.46,52091.6,0.2604,505.96,151.79,0,151.79
2019-01-06,EV001,rural,cold,644.81,52736.409999999996,0.2605,193.2,23.18,0,23.18
2019-01-13,EV001,urban,cold,340.83,53077.24,0.2606,102.15,25.54,0,25.54
2019-01-20,EV001,highway,cold,1142.84,54220.079999999994,0.2608,342.82,85.7,0,85.7
2019-01-27,EV001,highway,cold,1240.41,55460.49,0.2611,372.44,44.69,0,44.69
2019-02-03,EV001,rural,cold,722.57,56183.06,0.2612,217.08,65.12,0,65.12
2019-02-10,EV001,rural,cold,598.27,56781.329999999994,0.2614,179.82,44.95,0,44.95
2019-02-17,EV001,highway,cold,1642.47,58423.799999999996,0.2617,494.28,148.28,0,148.28
2019-02-24,EV001,highway,cold,1069.21,59493.009999999995,0.2619,322.03,38.64,0,38.64
2019-03-03,EV001,rural,mild,913.0,60406.009999999995,0.2621,239.28,28.71,200,228.71
2019-03-10,EV001,highway,mild,831.24,61237.24999999999,0.2622,217.99,65.4,0,65.4
2019-03-17,EV001,rural,mild,693.93,61931.17999999999,0.2624,182.08,45.52,0,45.52
2019-03-24,EV001,rural,mild,1033.39,62964.56999999999,0.2626,271.36,67.84,0,67.84
2019-03-31,EV001,urban,mild,387.58,63352.149999999994,0.2627,101.81,12.22,0,12.22
2019-04-07,EV001,highway,mild,812.39,64164.53999999999,0.2628,213.52,64.06,0,64.06
2019-04-14,EV001,highway,mild,847.64,65012.17999999999,0.263,222.93,55.73,0,55.73
2019-04-21,EV001,rural,mild,984.73,65996.90999999999,0.2632,259.18,64.8,0,64.8
2019-04-28,EV001,urban,mild,570.65,66567.55999999998,0.2633,150.26,37.56,0,37.56
2019-05-05,EV001,urban,mild,664.0,67231.55999999998,0.2634,174.93,43.73,0,43.73
2019-05-12,EV001,urban,mild,547.84,67779.39999999998,0.2636,144.39,43.32,0,43.32
2019-05-19,EV001,urban,mild,571.06,68350.45999999998,0.2637,150.57,37.64,0,37.64
2019-05-26,EV001,urban,mild,476.32,68826.77999999998,0.2638,125.64,37.69,0,37.69
2019-06-02,EV001,highway,hot,1066.27,69893.04999999999,0.264,309.62,92.89,0,92.89
2019-06-09,EV001,highway,hot,1580.06,71473.10999999999,0.2643,459.36,137.81,0,137.81
2019-06-16,EV001,highway,hot,1010.77,72483.87999999999,0.2645,294.08,88.22,0,88.22
2019-06-23,EV001,urban,hot,404.84,72888.71999999999,0.2646,117.82,14.14,0,14.14
2019-06-30,EV001,urban,hot,449.44,73338.15999999999,0.2647,130.85,15.7,0,15.7
2019-07-07,EV001,rural,hot,663.62,74001.77999999998,0.2648,193.3,57.99,0,57.99
2019-07-14,EV001,urban,hot,530.67,74532.44999999998,0.2649,154.64,38.66,0,38.66
2019-07-21,EV001,rural,hot,981.34,75513.78999999998,0.2651,286.17,34.34,0,34.34
2019-07-28,EV001,urban,hot,550.24,76064.02999999998,0.2652,160.52,40.13,0,40.13
2019-08-04,EV001,highway,hot,1437.98,77502.00999999998,0.2655,419.96,104.99,0,104.99
2019-08-11,EV001,highway,hot,1851.84,79353.84999999998,0.2659,541.59,162.48,0,162.48
2019-08-18,EV001,rural,hot,570.5,79924.34999999998,0.266,166.92,41.73,0,41.73
2019-08-25,EV001,rural,hot,631.18,80555.52999999997,0.2661,184.76,46.19,0,46.19
2019-09-01,EV001,urban,mild,242.83,80798.35999999997,0.2662,64.63,16.16,0,16.16
2019-09-08,EV001,rural,mild,1101.41,81899.76999999997,0.2664,293.39,35.21,0,35.21
2019-09-15,EV001,urban,mild,637.79,82537.55999999997,0.2665,169.98,50.99,0,50.99
2019-09-22,EV001,highway,mild,1543.19,84080.74999999997,0.2668,411.75,102.94,0,102.94
2019-09-29,EV001,urban,mild,649.98,84730.72999999997,0.2669,173.51,43.38,0,43.38
2019-10-06,EV001,urban,mild,209.91,84940.63999999997,0.267,56.04,16.81,0,16.81
2019-10-13,EV001,highway,mild,1849.83,86790.46999999997,0.2674,494.57,148.37,0,148.37
2019-10-20,EV001,urban,mild,331.3,87121.76999999997,0.2674,88.6,26.58,0,26.58
2019-10-27,EV001,rural,mild,900.09,88021.85999999997,0.2676,240.87,72.26,0,72.26
2019-11-03,EV001,urban,mild,302.35,88324.20999999998,0.2677,80.93,20.23,0,20.23
2019-11-10,EV001,urban,mild,616.91,88941.11999999998,0.2678,165.2,41.3,0,41.3
2019-11-17,EV001,highway,mild,997.99,89939.10999999999,0.268,267.45,80.23,0,80.23
2019-11-24,EV001,urban,mild,219.97,90159.07999999999,0.268,58.96,17.69,200,217.69
2019-12-01,EV001,highway,cold,1087.6,91246.68,0.2682,335.51,83.88,0,83.88
2019-12-08,EV001,rural,cold,1047.22,92293.9,0.2685,323.31,96.99,0,96.99
2019-12-15,EV001,rural,cold,566.55,92860.45,0.2686,174.98,21.0,0,21.0
2019-12-22,EV001,highway,cold,1646.28,94506.73,0.2689,509.09,152.73,0,152.73
